time, Quad.Est.E.Pos, Quad.Est.S.Z
1.700023,0.002384,0.300000
1.705024,0.002421,0.300000
1.710024,0.002442,0.300000
1.715024,0.002471,0.300000
1.720024,0.002489,0.300000
1.725025,0.002516,0.300000
1.730025,0.002534,0.300000
1.735025,0.002560,0.300000
1.740025,0.002576,0.300000
1.745026,0.002603,0.300000
1.750026,0.002623,0.300000
1.755026,0.002652,0.300000
1.760026,0.002671,0.300000
1.765026,0.002700,0.300000
1.770027,0.002719,0.300000
1.775027,0.002749,0.300000
1.780027,0.002772,0.300000
1.785027,0.002809,0.300000
1.790028,0.002836,0.300000
1.795028,0.002877,0.300000
1.800028,0.002903,0.300000
1.805028,0.002938,0.300000
1.810029,0.002959,0.300000
1.815029,0.002986,0.300000
1.820029,0.003001,0.300000
1.825029,0.003018,0.300000
1.830029,0.003025,0.300000
1.835030,0.003033,0.300000
1.840030,0.003035,0.300000
1.845030,0.003035,0.300000
1.850030,0.003034,0.300000
1.855031,0.003029,0.300000
1.860031,0.003024,0.300000
1.865031,0.003013,0.300000
1.870031,0.003003,0.300000
1.875032,0.002984,0.300000
1.880032,0.002969,0.300000
1.885032,0.002945,0.300000
1.890032,0.002930,0.300000
1.895033,0.002908,0.300000
1.900033,0.002892,0.300000
1.905033,0.002868,0.300000
1.910033,0.002852,0.300000
1.915033,0.002825,0.300000
1.920034,0.002806,0.300000
1.925034,0.002775,0.300000
1.930034,0.002752,0.300000
1.935034,0.002715,0.300000
1.940035,0.002689,0.300000
1.945035,0.002648,0.300000
1.950035,0.002619,0.300000
1.955035,0.002570,0.300000
1.960036,0.002534,0.300000
1.965036,0.002475,0.300000
1.970036,0.002435,0.300000
1.975036,0.002371,0.300000
1.980036,0.002327,0.300000
1.985037,0.002258,0.300000
1.990037,0.002209,0.300000
1.995037,0.002131,0.300000
2.000037,0.002075,0.300000
2.005037,0.001990,0.300000
2.010037,0.001931,0.300000
2.015036,0.001842,0.300000
2.020036,0.001781,0.300000
2.025036,0.001684,0.300000
2.030035,0.001615,0.300000
2.035035,0.001505,0.300000
2.040035,0.001426,0.300000
2.045034,0.001302,0.300000
2.050034,0.001217,0.300000
2.055033,0.001087,0.300000
2.060033,0.000999,0.300000
2.065033,0.000871,0.300000
2.070032,0.000795,0.300000
2.075032,0.000712,0.300000
2.080032,0.000701,0.300000
2.085031,0.000788,0.300000
2.090031,0.000929,0.300000
2.095031,0.001261,0.300000
2.100030,0.001557,0.300000
2.105030,0.002112,0.300000
2.110029,0.002558,0.300000
2.115029,0.003352,0.300000
2.120029,0.003971,0.300000
2.125028,0.005046,0.300000
2.130028,0.005869,0.300000
2.135028,0.007278,0.300000
2.140027,0.008343,0.300000
2.145027,0.010142,0.300000
2.150027,0.011485,0.300000
2.155026,0.013731,0.300000
2.160026,0.015389,0.300000
2.165025,0.018130,0.300000
2.170025,0.020136,0.300000
2.175025,0.023424,0.300000
2.180024,0.025811,0.300000
2.185024,0.029694,0.300000
2.190024,0.032492,0.300000
2.195023,0.037007,0.300000
2.200023,0.040233,0.300000
2.205023,0.045402,0.300000
2.210022,0.049068,0.300000
2.215022,0.054899,0.300000
2.220021,0.059006,0.300000
2.225021,0.065489,0.300000
2.230021,0.070022,0.300000
2.235020,0.077135,0.300000
2.240020,0.082079,0.300000
2.245020,0.089789,0.300000
2.250019,0.095119,0.300000
2.255019,0.103385,0.300000
2.260019,0.109070,0.300000
2.265018,0.117844,0.300000
2.270018,0.123853,0.300000
2.275017,0.133091,0.300000
2.280017,0.139395,0.300000
2.285017,0.149057,0.300000
2.290016,0.155630,0.300000
2.295016,0.165678,0.300000
2.300016,0.172498,0.300000
2.305015,0.182900,0.300000
2.310015,0.189947,0.300000
2.315015,0.200679,0.300000
2.320014,0.207936,0.300000
2.325014,0.218970,0.300000
2.330014,0.226420,0.300000
2.335013,0.237735,0.300000
2.340013,0.245369,0.300000
2.345012,0.256949,0.300000
2.350012,0.264753,0.300000
2.355012,0.276581,0.300000
2.360011,0.284544,0.300000
2.365011,0.296602,0.300000
2.370011,0.304715,0.300000
2.375010,0.316993,0.300000
2.380010,0.325247,0.300000
2.385010,0.337731,0.300000
2.390009,0.346118,0.300000
2.395009,0.358794,0.300000
2.400008,0.367306,0.300000
2.405008,0.380164,0.300000
2.410008,0.388793,0.300000
2.415007,0.401820,0.300000
2.420007,0.410559,0.300000
2.425007,0.423744,0.300000
2.430006,0.432585,0.300000
2.435006,0.445921,0.300000
2.440006,0.454859,0.300000
2.445005,0.468337,0.300000
2.450005,0.477369,0.300000
2.455004,0.490983,0.300000
2.460004,0.500104,0.300000
2.465004,0.513850,0.300000
2.470003,0.523056,0.300000
2.475003,0.536926,0.300000
2.480003,0.546213,0.300000
2.485002,0.560202,0.300000
2.490002,0.569566,0.300000
2.495002,0.583668,0.300000
2.500001,0.593105,0.300000
2.505001,0.607315,0.300000
2.510000,0.616824,0.300000
2.515000,0.631140,0.300000
2.520000,0.640719,0.300000
2.524999,0.655138,0.300000
2.529999,0.664784,0.300000
2.534999,0.679303,0.300000
2.539998,0.689016,0.300000
2.544998,0.703634,0.300000
2.549998,0.713411,0.300000
2.554997,0.728125,0.300000
2.559997,0.737966,0.300000
2.564996,0.752775,0.300000
2.569996,0.762679,0.300000
2.574996,0.777581,0.300000
2.579995,0.787548,0.300000
2.584995,0.802545,0.300000
2.589995,0.812575,0.300000
2.594994,0.827667,0.300000
2.599994,0.837760,0.300000
2.604994,0.852945,0.300000
2.609993,0.863099,0.300000
2.614993,0.878377,0.300000
2.619992,0.888593,0.300000
2.624992,0.903962,0.300000
2.629992,0.914238,0.300000
2.634991,0.929697,0.300000
2.639991,0.940032,0.300000
2.644991,0.955579,0.300000
2.649990,0.965971,0.300000
2.654990,0.981603,0.300000
2.659990,0.992051,0.300000
2.664989,1.007766,0.300000
2.669989,1.018271,0.300000
2.674989,1.034068,0.300000
2.679988,1.044627,0.300000
2.684988,1.060506,0.300000
2.689987,1.071117,0.300000
2.694987,1.087072,0.300000
2.699987,1.097735,0.300000
2.704986,1.113765,0.300000
2.709986,1.124475,0.300000
2.714986,1.140577,0.300000
2.719985,1.151335,0.300000
2.724985,1.167507,0.300000
2.729985,1.178311,0.300000
2.734984,1.194551,0.300000
2.739984,1.205399,0.300000
2.744983,1.221703,0.300000
2.749983,1.232593,0.300000
2.754983,1.248959,0.300000
2.759982,1.259889,0.300000
2.764982,1.276315,0.300000
2.769982,1.287285,0.300000
2.774981,1.303768,0.300000
2.779981,1.314775,0.300000
2.784981,1.331314,0.300000
2.789980,1.342357,0.300000
2.794980,1.358949,0.300000
2.799979,1.370027,0.300000
2.804979,1.386670,0.300000
2.809979,1.397782,0.300000
2.814978,1.414475,0.300000
2.819978,1.425619,0.300000
2.824978,1.442359,0.300000
2.829977,1.453534,0.300000
2.834977,1.470320,0.300000
2.839977,1.481525,0.300000
2.844976,1.498354,0.300000
2.849976,1.509588,0.300000
2.854975,1.526459,0.300000
2.859975,1.537719,0.300000
2.864975,1.554631,0.300000
2.869974,1.565918,0.300000
2.874974,1.582869,0.300000
2.879974,1.594182,0.300000
2.884973,1.611169,0.300000
2.889973,1.622506,0.300000
2.894973,1.639528,0.300000
2.899972,1.650888,0.300000
2.904972,1.667944,0.300000
2.909971,1.679325,0.300000
2.914971,1.696413,0.300000
2.919971,1.707815,0.300000
2.924970,1.724934,0.300000
2.929970,1.736356,0.300000
2.934970,1.753503,0.300000
2.939969,1.764944,0.300000
2.944969,1.782120,0.300000
2.949969,1.793580,0.300000
2.954968,1.810782,0.300000
2.959968,1.822259,0.300000
2.964967,1.839486,0.300000
2.969967,1.850979,0.300000
2.974967,1.868230,0.300000
2.979966,1.879739,0.300000
2.984966,1.897012,0.300000
2.989966,1.908535,0.300000
2.994965,1.925831,0.300000
2.999965,1.937367,0.300000
3.004965,1.954682,0.300000
3.009964,1.966232,0.300000
3.014964,1.983566,0.300000
3.019964,1.995128,0.300000
3.024963,2.012480,0.300000
3.029963,2.024053,0.300000
3.034962,2.041419,0.300000
3.039962,2.053000,0.300000
3.044962,2.070375,0.300000
3.049961,2.081958,0.300000
3.054961,2.099329,0.300000
3.059961,2.110904,0.300000
3.064960,2.128253,0.300000
3.069960,2.139806,0.300000
3.074960,2.157108,0.300000
3.079959,2.168619,0.300000
3.084959,2.185842,0.300000
3.089958,2.197288,0.300000
3.094958,2.214393,0.300000
3.099958,2.225747,0.300000
3.104957,2.242690,0.300000
3.109957,2.253920,0.300000
3.114957,2.270651,0.300000
3.119956,2.281722,0.300000
3.124956,2.298191,0.300000
3.129956,2.309070,0.300000
3.134955,2.325224,0.300000
3.139955,2.335873,0.300000
3.144954,2.351651,0.300000
3.149954,2.362031,0.300000
3.154954,2.377378,0.300000
3.159953,2.387452,0.300000
3.164953,2.402316,0.300000
3.169953,2.412051,0.300000
3.174952,2.426382,0.300000
3.179952,2.435747,0.300000
3.184952,2.449501,0.300000
3.189951,2.458471,0.300000
3.194951,2.471616,0.300000
3.199950,2.480170,0.300000
3.204950,2.492677,0.300000
3.209950,2.500798,0.300000
3.214949,2.512655,0.300000
3.219949,2.520346,0.300000
3.224949,2.531563,0.300000
3.229948,2.538832,0.300000
3.234948,2.549429,0.300000
3.239948,2.556293,0.300000
3.244947,2.566296,0.300000
3.249947,2.572774,0.300000
3.254946,2.582219,0.300000
3.259946,2.588339,0.300000
3.264946,2.597270,0.300000
3.269945,2.603062,0.300000
3.274945,2.611520,0.300000
3.279945,2.617013,0.300000
3.284944,2.625040,0.300000
3.289944,2.630257,0.300000
3.294944,2.637893,0.300000
3.299943,2.642862,0.300000
3.304943,2.650143,0.300000
3.309942,2.654888,0.300000
3.314942,2.661847,0.300000
3.319942,2.666385,0.300000
3.324941,2.673048,0.300000
3.329941,2.677396,0.300000
3.334941,2.683783,0.300000
3.339940,2.687953,0.300000
3.344940,2.694084,0.300000
3.349940,2.698090,0.300000
3.354939,2.703984,0.300000
3.359939,2.707838,0.300000
3.364938,2.713513,0.300000
3.369938,2.717228,0.300000
3.374938,2.722700,0.300000
3.379937,2.726284,0.300000
3.384937,2.731566,0.300000
3.389937,2.735028,0.300000
3.394936,2.740134,0.300000
3.399936,2.743482,0.300000
3.404936,2.748424,0.300000
3.409935,2.751667,0.300000
3.414935,2.756456,0.300000
3.419935,2.759600,0.300000
3.424934,2.764245,0.300000
3.429934,2.767296,0.300000
3.434933,2.771806,0.300000
3.439933,2.774768,0.300000
3.444933,2.779148,0.300000
3.449932,2.782025,0.300000
3.454932,2.786278,0.300000
3.459932,2.789073,0.300000
3.464931,2.793207,0.300000
3.469931,2.795924,0.300000
3.474931,2.799941,0.300000
3.479930,2.802582,0.300000
3.484930,2.806486,0.300000
3.489929,2.809052,0.300000
3.494929,2.812849,0.300000
3.499929,2.815343,0.300000
3.504928,2.819034,0.300000
3.509928,2.821459,0.300000
3.514928,2.825045,0.300000
3.519927,2.827402,0.300000
3.524927,2.830887,0.300000
3.529927,2.833178,0.300000
3.534926,2.836563,0.300000
3.539926,2.838788,0.300000
3.544925,2.842076,0.300000
3.549925,2.844237,0.300000
3.554925,2.847429,0.300000
3.559924,2.849527,0.300000
3.564924,2.852627,0.300000
3.569924,2.854662,0.300000
3.574923,2.857669,0.300000
3.579923,2.859643,0.300000
3.584923,2.862558,0.300000
3.589922,2.864472,0.300000
3.594922,2.867298,0.300000
3.599921,2.869152,0.300000
3.604921,2.871890,0.300000
3.609921,2.873685,0.300000
3.614920,2.876334,0.300000
3.619920,2.878071,0.300000
3.624920,2.880632,0.300000
3.629919,2.882310,0.300000
3.634919,2.884785,0.300000
3.639919,2.886406,0.300000
3.644918,2.888796,0.300000
3.649918,2.890361,0.300000
3.654917,2.892668,0.300000
3.659917,2.894180,0.300000
3.664917,2.896406,0.300000
3.669916,2.897864,0.300000
3.674916,2.900012,0.300000
3.679916,2.901419,0.300000
3.684915,2.903490,0.300000
3.689915,2.904845,0.300000
3.694915,2.906839,0.300000
3.699914,2.908143,0.300000
3.704914,2.910064,0.300000
3.709913,2.911320,0.300000
3.714913,2.913169,0.300000
3.719913,2.914378,0.300000
3.724912,2.916157,0.300000
3.729912,2.917320,0.300000
3.734912,2.919030,0.300000
3.739911,2.920147,0.300000
3.744911,2.921791,0.300000
3.749911,2.922865,0.300000
3.754910,2.924445,0.300000
3.759910,2.925477,0.300000
3.764910,2.926994,0.300000
3.769909,2.927984,0.300000
3.774909,2.929440,0.300000
3.779908,2.930391,0.300000
3.784908,2.931788,0.300000
3.789908,2.932701,0.300000
3.794907,2.934043,0.300000
3.799907,2.934921,0.300000
3.804907,2.936211,0.300000
3.809906,2.937054,0.300000
3.814906,2.938294,0.300000
3.819906,2.939105,0.300000
3.824905,2.940299,0.300000
3.829905,2.941079,0.300000
3.834904,2.942229,0.300000
3.839904,2.942981,0.300000
3.844904,2.944090,0.300000
3.849903,2.944816,0.300000
3.854903,2.945886,0.300000
3.859903,2.946587,0.300000
3.864902,2.947622,0.300000
3.869902,2.948300,0.300000
3.874902,2.949301,0.300000
3.879901,2.949958,0.300000
3.884901,2.950928,0.300000
3.889900,2.951565,0.300000
3.894900,2.952506,0.300000
3.899900,2.953124,0.300000
3.904899,2.954038,0.300000
3.909899,2.954638,0.300000
3.914899,2.955526,0.300000
3.919898,2.956109,0.300000
3.924898,2.956972,0.300000
3.929898,2.957540,0.300000
3.934897,2.958379,0.300000
3.939897,2.958931,0.300000
3.944896,2.959747,0.300000
3.949896,2.960283,0.300000
3.954896,2.961077,0.300000
3.959895,2.961598,0.300000
3.964895,2.962370,0.300000
